ID,ementa detalhada,temas,sub_ementas,tokens_temas,tema_principal,similaridade,cluster,Tema_Cluster
236,Altera as Leis nº 10.696 de 2003 e 11.718 de 2008.,"Agricultura, Pecuária, Pesca e Extrativismo, Direitos Humanos e Minorias, Estrutura Fundiária",['Altera as Leis nº 10.696 de 2003 e 11.718 de 2008.'],"['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Direitos Humanos e Minorias', 'Estrutura Fundiária']",Agricultura,0.4279988408088684,26,Direitos Humanos e Minorias
263,Altera as Leis nº 10.406 de 2002 e 13.105 de 2015.,"Direito Civil e Processual Civil, Meio Ambiente e Desenvolvimento Sustentável",['Altera as Leis nº 10.406 de 2002 e 13.105 de 2015.'],"['Direito Civil e Processual Civil', 'Meio Ambiente e Desenvolvimento Sustentável']",Direito Civil e Processual Civil,0.49637964367866516,27,Direito Civil e Processual Civil
280,Altera a Lei nº 10.925 de 2004.,"Agricultura, Pecuária, Pesca e Extrativismo, Ciência, Tecnologia e Inovação, Finanças Públicas e Orçamento",['Altera a Lei nº 10.925 de 2004.'],"['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Ciência', 'Tecnologia e Inovação', 'Finanças Públicas e Orçamento']",Agricultura,0.41786906123161316,30,Finanças Públicas e Orçamento
391,"Altera a Lei nº 6.015, de 1973 e a Lei nº 8.677, de 1993.","Cidades e Desenvolvimento Urbano, Direitos Humanos e Minorias, Economia","['Altera a Lei nº 6.015', 'de 1973 e a Lei nº 8.677', 'de 1993.']","['Cidades e Desenvolvimento Urbano', 'Direitos Humanos e Minorias', 'Economia']",Cidades e Desenvolvimento Urbano,0.4584651533162819,29,Direitos Humanos e Minorias
393,"Criação,","Homenagens e Datas Comemorativas, Saúde",['Criação'],"['Homenagens e Datas Comemorativas', 'Saúde']",Homenagens e Datas Comemorativas,0.5179471373558044,18,Processo Legislativo e Atuação Parlamentar
418,"Altera a Lei nº 7.998, de 1990.","Arte, Cultura e Religião, Direitos Humanos e Minorias","['Altera a Lei nº 7.998', 'de 1990.']","['Arte', 'Cultura e Religião', 'Direitos Humanos e Minorias']",Arte,0.5054555874446343,40,Direito e Defesa do Consumidor
556,"ação,","Finanças Públicas e Orçamento, Meio Ambiente e Desenvolvimento Sustentável",['ação'],"['Finanças Públicas e Orçamento', 'Meio Ambiente e Desenvolvimento Sustentável']",Finanças Públicas e Orçamento,0.36591798067092896,31,Defesa e Segurança
577,"Altera a Lei nº 14.129, de 2021.","Administração Pública, Direito Civil e Processual Civil","['Altera a Lei nº 14.129', 'de 2021.']","['Administração Pública', 'Direito Civil e Processual Civil']",Administração Pública,0.47053667704264324,16,Direito Civil e Processual Civil
578,"Altera a Lei nº 10.438, de 2002.","Direito e Defesa do Consumidor, Energia, Recursos Hídricos e Minerais","['Altera a Lei nº 10.438', 'de 2002.']","['Direito e Defesa do Consumidor', 'Energia', 'Recursos Hídricos e Minerais']",Direito e Defesa do Consumidor,0.49645813703536984,27,Direito Civil e Processual Civil
581,"Altera a Lei nº 9.504, de 1997.","Direitos Humanos e Minorias, Política, Partidos e Eleições","['Altera a Lei nº 9.504', 'de 1997.']","['Direitos Humanos e Minorias', 'Política', 'Partidos e Eleições']",Direitos Humanos e Minorias,0.4725935952416782,39,Direito Penal e Processual Penal
582,"Altera a Lei nº 12.514, de 2011.","Administração Pública, Trabalho e Emprego","['Altera a Lei nº 12.514', 'de 2011.']","['Administração Pública', 'Trabalho e Emprego']",Administração Pública,0.4632598459720611,34,Direito Penal e Processual Penal
583,"Altera o Decreto-lei nº 3.689, de 1941.",Direito Penal e Processual Penal,"['Altera o Decreto-lei nº 3.689', 'de 1941.']",['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.4622063113225473,8,Direito Penal e Processual Penal
597,Altera a Lei nº10.260 de 2001.,"Direitos Humanos e Minorias, Educação, Finanças Públicas e Orçamento",['Altera a Lei nº10.260 de 2001.'],"['Direitos Humanos e Minorias', 'Educação', 'Finanças Públicas e Orçamento']",Direitos Humanos e Minorias,0.43479812145233154,35,Direitos Humanos e Minorias
599,"a profissional,","Trabalho e Emprego, Viação, Transporte e Mobilidade",['a profissional'],"['Trabalho e Emprego', 'Viação', 'Transporte e Mobilidade']",Trabalho e Emprego,0.5469893217086792,5,Trabalho e Emprego
646,Altera o Decreto-lei nº 2.848 de 1940.,"Direito Penal e Processual Penal, Direitos Humanos e Minorias",['Altera o Decreto-lei nº 2.848 de 1940.'],"['Direito Penal e Processual Penal', 'Direitos Humanos e Minorias']",Direito Penal e Processual Penal,0.46050721406936646,8,Direito Penal e Processual Penal
699,Altera a Lei nº 9.296 de 1996.,Direito Penal e Processual Penal,['Altera a Lei nº 9.296 de 1996.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.44324949383735657,43,Meio Ambiente e Desenvolvimento Sustentável
701,"Altera as Leis nº 9.250 de 1995, 9.532 de 1997 e 13.800  de 2019.","Direitos Humanos e Minorias, Finanças Públicas e Orçamento, Saúde","['Altera as Leis nº 9.250 de 1995', '9.532 de 1997 e 13.800  de 2019.']","['Direitos Humanos e Minorias', 'Finanças Públicas e Orçamento', 'Saúde']",Direitos Humanos e Minorias,0.435827512589712,35,Direitos Humanos e Minorias
708,Altera as Leis nº 9.427 de 1996; 9.991 de 2000; 10.848 de 2004 e 14.182 de 2021.,"Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento, Meio Ambiente e Desenvolvimento Sustentável","['Altera as Leis nº 9.427 de 1996', '9.991 de 2000', '10.848 de 2004 e 14.182 de 2021.']","['Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento', 'Meio Ambiente e Desenvolvimento Sustentável']",Energia,0.42962773693235295,0,Trabalho e Emprego
715,Altera a Lei nº 10.446 de 2002.,"Ciência, Tecnologia e Inovação, Defesa e Segurança",['Altera a Lei nº 10.446 de 2002.'],"['Ciência', 'Tecnologia e Inovação', 'Defesa e Segurança']",Ciência,0.3999219536781311,38,Direitos Humanos e Minorias
733,Altera a Lei nº 7.210 de 1984.,Defesa e Segurança,['Altera a Lei nº 7.210 de 1984.'],['Defesa e Segurança'],Defesa e Segurança,0.36096444725990295,31,Defesa e Segurança
746,Altera as Leis nº 10.260 de 2001 e 9.250 de 1995.,"Economia, Educação, Finanças Públicas e Orçamento",['Altera as Leis nº 10.260 de 2001 e 9.250 de 1995.'],"['Economia', 'Educação', 'Finanças Públicas e Orçamento']",Economia,0.43002238869667053,0,Trabalho e Emprego
756,Altera a Lei nº 9.984 de 2000.,"Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 9.984 de 2000.'],"['Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento', 'Meio Ambiente e Desenvolvimento Sustentável']",Energia,0.4176316261291504,30,Finanças Públicas e Orçamento
782,Altera a Lei nº 9.906 de 1994.,"Administração Pública, Defesa e Segurança, Trabalho e Emprego",['Altera a Lei nº 9.906 de 1994.'],"['Administração Pública', 'Defesa e Segurança', 'Trabalho e Emprego']",Administração Pública,0.4131571650505066,47,Direitos Humanos e Minorias
802,Altera a Lei nº 8.080 de 1990.,"Defesa e Segurança, Direito Penal e Processual Penal, Direitos Humanos e Minorias, Saúde",['Altera a Lei nº 8.080 de 1990.'],"['Defesa e Segurança', 'Direito Penal e Processual Penal', 'Direitos Humanos e Minorias', 'Saúde']",Defesa e Segurança,0.48038482666015625,1,Direito Civil e Processual Civil
803,Altera as Leis nº 10.848 de 2004 e 13.576 de 2017.,"Administração Pública, Energia, Recursos Hídricos e Minerais, Meio Ambiente e Desenvolvimento Sustentável",['Altera as Leis nº 10.848 de 2004 e 13.576 de 2017.'],"['Administração Pública', 'Energia', 'Recursos Hídricos e Minerais', 'Meio Ambiente e Desenvolvimento Sustentável']",Administração Pública,0.4406566023826599,7,Finanças Públicas e Orçamento
819,Altera o Decreto-lei nº 3.689 de 1941.,Direito Penal e Processual Penal,['Altera o Decreto-lei nº 3.689 de 1941.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.4609299898147583,8,Direito Penal e Processual Penal
833,Altera as Leis nº 13.465 de 2017 e 10.406 de 2002.,"Administração Pública, Cidades e Desenvolvimento Urbano, Direito Civil e Processual Civil, Estrutura Fundiária",['Altera as Leis nº 13.465 de 2017 e 10.406 de 2002.'],"['Administração Pública', 'Cidades e Desenvolvimento Urbano', 'Direito Civil e Processual Civil', 'Estrutura Fundiária']",Administração Pública,0.47936761379241943,1,Direito Civil e Processual Civil
837,Altera as Leis nº 10.257 de 2001; 9.807 de 1999 e 12.527 de 2011.,"Administração Pública, Defesa e Segurança, Direito Penal e Processual Penal","['Altera as Leis nº 10.257 de 2001', '9.807 de 1999 e 12.527 de 2011.']","['Administração Pública', 'Defesa e Segurança', 'Direito Penal e Processual Penal']",Administração Pública,0.456742368993305,29,Direitos Humanos e Minorias
840,Altera as Leis nº 9.612 de 1998; 9.998 de 2000 e 9.790 de 1999.,"Administração Pública, Comunicações, Finanças Públicas e Orçamento","['Altera as Leis nº 9.612 de 1998', '9.998 de 2000 e 9.790 de 1999.']","['Administração Pública', 'Comunicações', 'Finanças Públicas e Orçamento']",Administração Pública,0.4124199386502876,47,Direitos Humanos e Minorias
842,Altera a Lei nº 5.655 de 1971.,"Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 5.655 de 1971.'],"['Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento', 'Meio Ambiente e Desenvolvimento Sustentável']",Energia,0.45069313049316406,12,Direito Penal e Processual Penal
843,Altera a Lei nº 9.394 de 1996.,"Educação, Esporte e Lazer",['Altera a Lei nº 9.394 de 1996.'],"['Educação', 'Esporte e Lazer']",Educação,0.44574829936027527,42,Direitos Humanos e Minorias
847,Altera a Lei nº 9.393 de 1996.,"Agricultura, Pecuária, Pesca e Extrativismo, Direitos Humanos e Minorias, Finanças Públicas e Orçamento",['Altera a Lei nº 9.393 de 1996.'],"['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Direitos Humanos e Minorias', 'Finanças Públicas e Orçamento']",Agricultura,0.41121307015419006,47,Direitos Humanos e Minorias
849,Alter o Decreto-lei nº 5.452 de 1943.,"Direitos Humanos e Minorias, Trabalho e Emprego",['Alter o Decreto-lei nº 5.452 de 1943.'],"['Direitos Humanos e Minorias', 'Trabalho e Emprego']",Direitos Humanos e Minorias,0.43086114525794983,0,Trabalho e Emprego
878,Altera a Lei nº 9.605 de 1998.,"Direito Penal e Processual Penal, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 9.605 de 1998.'],"['Direito Penal e Processual Penal', 'Meio Ambiente e Desenvolvimento Sustentável']",Direito Penal e Processual Penal,0.4429070055484772,43,Meio Ambiente e Desenvolvimento Sustentável
893,Altera a Lei nº 10.406 de 2002.,Direito Civil e Processual Civil,['Altera a Lei nº 10.406 de 2002.'],['Direito Civil e Processual Civil'],Direito Civil e Processual Civil,0.5009211301803589,10,Direito Civil e Processual Civil
898,Altera a Lei nº  9.250 de 1995.,"Finanças Públicas e Orçamento, Saúde",['Altera a Lei nº  9.250 de 1995.'],"['Finanças Públicas e Orçamento', 'Saúde']",Finanças Públicas e Orçamento,0.4242953062057495,36,Finanças Públicas e Orçamento
901,Altera a Lei nº 12.973 de 2014.,"Finanças Públicas e Orçamento, Indústria, Comércio e Serviços, Relações Internacionais e Comércio Exterior",['Altera a Lei nº 12.973 de 2014.'],"['Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços', 'Relações Internacionais e Comércio Exterior']",Finanças Públicas e Orçamento,0.4475128650665283,25,Finanças Públicas e Orçamento
903,Altera o Decreto-lei nº 3.689 de 1941.,"Direito Penal e Processual Penal, Direitos Humanos e Minorias, Saúde",['Altera o Decreto-lei nº 3.689 de 1941.'],"['Direito Penal e Processual Penal', 'Direitos Humanos e Minorias', 'Saúde']",Direito Penal e Processual Penal,0.4609299302101135,8,Direito Penal e Processual Penal
956,Altera a Lei nº 9.610 de 1998.,"Arte, Cultura e Religião, Direito Civil e Processual Civil, Trabalho e Emprego",['Altera a Lei nº 9.610 de 1998.'],"['Arte', 'Cultura e Religião', 'Direito Civil e Processual Civil', 'Trabalho e Emprego']",Arte,0.44525864720344543,42,Direitos Humanos e Minorias
969,Altera a Lei nº 12.514 de 2011.,"Direitos Humanos e Minorias, Trabalho e Emprego",['Altera a Lei nº 12.514 de 2011.'],"['Direitos Humanos e Minorias', 'Trabalho e Emprego']",Direitos Humanos e Minorias,0.44412416219711304,42,Direitos Humanos e Minorias
983,Altera a Lei nº 13.105 de 2015.,"Defesa e Segurança, Direito Civil e Processual Civil, Direito Penal e Processual Penal, Direitos Humanos e Minorias",['Altera a Lei nº 13.105 de 2015.'],"['Defesa e Segurança', 'Direito Civil e Processual Civil', 'Direito Penal e Processual Penal', 'Direitos Humanos e Minorias']",Defesa e Segurança,0.4689861536026001,16,Direito Civil e Processual Civil
988,Altera as Leis nº 10.925 de 2004; 12.546 de 2011 e 9.430 de 1996.,"Agricultura, Pecuária, Pesca e Extrativismo, Finanças Públicas e Orçamento, Indústria, Comércio e Serviços","['Altera as Leis nº 10.925 de 2004', '12.546 de 2011 e 9.430 de 1996.']","['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços']",Agricultura,0.41760357410188703,30,Finanças Públicas e Orçamento
989,Altera as Leis nº 13.105 de 2015 e 90.99 de 1995 e os Decretos-Lei nº 5.452 de 1943 e  3.689 de 1941.,Direito e Justiça,['Altera as Leis nº 13.105 de 2015 e 90.99 de 1995 e os Decretos-Lei nº 5.452 de 1943 e  3.689 de 1941.'],['Direito e Justiça'],Direito e Justiça,0.3480408191680908,37,Energia
996,Altera as Leis nº  12.587 de 2012 e 9.503 de 1997.,"Cidades e Desenvolvimento Urbano, Viação, Transporte e Mobilidade",['Altera as Leis nº  12.587 de 2012 e 9.503 de 1997.'],"['Cidades e Desenvolvimento Urbano', 'Viação', 'Transporte e Mobilidade']",Cidades e Desenvolvimento Urbano,0.43284109234809875,0,Trabalho e Emprego
1047,Altera as Leis nº 8.069 de 1990 e  9.250 de 1995.,"Direitos Humanos e Minorias, Finanças Públicas e Orçamento",['Altera as Leis nº 8.069 de 1990 e  9.250 de 1995.'],"['Direitos Humanos e Minorias', 'Finanças Públicas e Orçamento']",Direitos Humanos e Minorias,0.4204544723033905,15,Direitos Humanos e Minorias
1061,"Proíbe a criação e a venda de animais cujos cruzamentos genéticos provoquem prejuízos à saúde e ao bem-estar da prole, ou que perpetuem problemas de saúde pré-existentes dos progenitores.",Meio Ambiente e Desenvolvimento Sustentável,"['Proíbe a criação e a venda de animais cujos cruzamentos genéticos provoquem prejuízos à saúde e ao bem-estar da prole', 'ou que perpetuem problemas de saúde pré-existentes dos progenitores.']",['Meio Ambiente e Desenvolvimento Sustentável'],Meio Ambiente e Desenvolvimento Sustentável,0.49212036100593776,49,Direito Civil e Processual Civil
1067,Altera a Lei nº 12.711 de 2012.,"Direitos Humanos e Minorias, Educação",['Altera a Lei nº 12.711 de 2012.'],"['Direitos Humanos e Minorias', 'Educação']",Direitos Humanos e Minorias,0.41827014088630676,30,Finanças Públicas e Orçamento
1091,Altera as Leis nº 8.429 de 1992 e 1.079 de 1950.,Administração Pública,['Altera as Leis nº 8.429 de 1992 e 1.079 de 1950.'],['Administração Pública'],Administração Pública,0.35681504011154175,17,Comunicações
1092,Altera a Lei nº 8.989 de 1995.,"Finanças Públicas e Orçamento, Trabalho e Emprego, Viação, Transporte e Mobilidade",['Altera a Lei nº 8.989 de 1995.'],"['Finanças Públicas e Orçamento', 'Trabalho e Emprego', 'Viação', 'Transporte e Mobilidade']",Finanças Públicas e Orçamento,0.4253976345062256,36,Finanças Públicas e Orçamento
1104,Altera a Lei nº 9.472 de 1997.,"Comunicações, Direitos Humanos e Minorias, Finanças Públicas e Orçamento, Indústria, Comércio e Serviços",['Altera a Lei nº 9.472 de 1997.'],"['Comunicações', 'Direitos Humanos e Minorias', 'Finanças Públicas e Orçamento', 'Indústria', 'Comércio e Serviços']",Comunicações,0.4033685624599457,20,Direitos Humanos e Minorias
1105,"Altera a Lei nº 10.925, de 2004 e a Lei nº 11.051, de 2004.","Agricultura, Pecuária, Pesca e Extrativismo, Finanças Públicas e Orçamento","['Altera a Lei nº 10.925', 'de 2004 e a Lei nº 11.051', 'de 2004.']","['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Finanças Públicas e Orçamento']",Agricultura,0.4405737714333968,7,Finanças Públicas e Orçamento
1108,Altera as Leis nº 10.741 de 2003 e 12.587 de 2012.,"Administração Pública, Energia, Recursos Hídricos e Minerais, Meio Ambiente e Desenvolvimento Sustentável",['Altera as Leis nº 10.741 de 2003 e 12.587 de 2012.'],"['Administração Pública', 'Energia', 'Recursos Hídricos e Minerais', 'Meio Ambiente e Desenvolvimento Sustentável']",Administração Pública,0.4495667815208435,12,Direito Penal e Processual Penal
1115,Altera o Decreto-lei nº 1.001 de 1969.,"Defesa e Segurança, Direito Penal e Processual Penal",['Altera o Decreto-lei nº 1.001 de 1969.'],"['Defesa e Segurança', 'Direito Penal e Processual Penal']",Defesa e Segurança,0.44050267338752747,7,Finanças Públicas e Orçamento
1129,Altera a Lei nº 12.212 de 2010.,"Direitos Humanos e Minorias, Energia, Recursos Hídricos e Minerais, Indústria, Comércio e Serviços",['Altera a Lei nº 12.212 de 2010.'],"['Direitos Humanos e Minorias', 'Energia', 'Recursos Hídricos e Minerais', 'Indústria', 'Comércio e Serviços']",Direitos Humanos e Minorias,0.4002608358860016,38,Direitos Humanos e Minorias
1130,Altera a Lei nº 6.503 de 1997.,"Viação, Transporte e Mobilidade",['Altera a Lei nº 6.503 de 1997.'],"['Viação', 'Transporte e Mobilidade']",Viação,0.4102477729320526,6,Finanças Públicas e Orçamento
1140,Altera o Decreto-lei nº 5.452 de 1943.,Trabalho e Emprego,['Altera o Decreto-lei nº 5.452 de 1943.'],['Trabalho e Emprego'],Trabalho e Emprego,0.4318040609359741,0,Trabalho e Emprego
1147,Altera a Lei nº 13.105 de 2015.,Direito Civil e Processual Civil,['Altera a Lei nº 13.105 de 2015.'],['Direito Civil e Processual Civil'],Direito Civil e Processual Civil,0.4689862132072449,16,Direito Civil e Processual Civil
1178,Altera a Lei nº10.741 de 2003.,"Direitos Humanos e Minorias, Previdência e Assistência Social",['Altera a Lei nº10.741 de 2003.'],"['Direitos Humanos e Minorias', 'Previdência e Assistência Social']",Direitos Humanos e Minorias,0.4603944718837738,8,Direito Penal e Processual Penal
1182,Altera a Lei nº 8.078 de 1990.,"Comunicações, Direito e Defesa do Consumidor, Indústria, Comércio e Serviços",['Altera a Lei nº 8.078 de 1990.'],"['Comunicações', 'Direito e Defesa do Consumidor', 'Indústria', 'Comércio e Serviços']",Comunicações,0.4836379885673523,19,Direito e Defesa do Consumidor
1188,Altera as Leis nº 6.259 de 1975; 13.979 de 2020 e 8.078 de 1990.,"Direito Civil e Processual Civil, Direito e Defesa do Consumidor, Direitos Humanos e Minorias, Indústria, Comércio e Serviços, Saúde","['Altera as Leis nº 6.259 de 1975', '13.979 de 2020 e 8.078 de 1990.']","['Direito Civil e Processual Civil', 'Direito e Defesa do Consumidor', 'Direitos Humanos e Minorias', 'Indústria', 'Comércio e Serviços', 'Saúde']",Direito Civil e Processual Civil,0.4827679693698883,41,Direito Penal e Processual Penal
1193,Altera a Lei nº 10.741 de 2003.,"Direitos Humanos e Minorias, Saúde",['Altera a Lei nº 10.741 de 2003.'],"['Direitos Humanos e Minorias', 'Saúde']",Direitos Humanos e Minorias,0.41807061433792114,30,Finanças Públicas e Orçamento
1209,Altera a Lei nº 9.998 de 2000.,"Direitos Humanos e Minorias, Finanças Públicas e Orçamento, Saúde",['Altera a Lei nº 9.998 de 2000.'],"['Direitos Humanos e Minorias', 'Finanças Públicas e Orçamento', 'Saúde']",Direitos Humanos e Minorias,0.40974900126457214,6,Finanças Públicas e Orçamento
1211,Altera a Lei nº 6.360 de 1976.,"Direitos Humanos e Minorias, Indústria, Comércio e Serviços, Saúde",['Altera a Lei nº 6.360 de 1976.'],"['Direitos Humanos e Minorias', 'Indústria', 'Comércio e Serviços', 'Saúde']",Direitos Humanos e Minorias,0.4012798070907593,38,Direitos Humanos e Minorias
1239,Altera o Decreto-Lei 2.848 de 1940.,"Direito Penal e Processual Penal, Trabalho e Emprego",['Altera o Decreto-Lei 2.848 de 1940.'],"['Direito Penal e Processual Penal', 'Trabalho e Emprego']",Direito Penal e Processual Penal,0.48381704092025757,19,Direito e Defesa do Consumidor
1245,Altera a Lei nº 6.385 de 1976.,Trabalho e Emprego,['Altera a Lei nº 6.385 de 1976.'],['Trabalho e Emprego'],Trabalho e Emprego,0.4223814308643341,15,Direitos Humanos e Minorias
1253,"Altera a Lei nº 8.685, de 1993; a Lei nº 10.147, de 2000; a Lei nº 10.637, de 2002; a Lei nº 10.833, de 2003; a Lei nº 10.865, de 2004; a Lei nº 12.431, de 2011; e a Lei nº 13.755, de 2018. Altera a Medida Provisória nº 2.158-35, de 2001. Revoga a Lei nº 10.312, de 2001.",Finanças Públicas e Orçamento,"['Altera a Lei nº 8.685', 'de 1993', 'a Lei nº 10.147', 'de 2000', 'a Lei nº 10.637', 'de 2002', 'a Lei nº 10.833', 'de 2003', 'a Lei nº 10.865', 'de 2004', 'a Lei nº 12.431', 'de 2011', 'e a Lei nº 13.755', 'de 2018. Altera a Medida Provisória nº 2.158-35', 'de 2001. Revoga a Lei nº 10.312', 'de 2001.']",['Finanças Públicas e Orçamento'],Finanças Públicas e Orçamento,0.4403826484294353,7,Finanças Públicas e Orçamento
1255,Altera a Lei nº 9.605 de 1998.,"Direito Civil e Processual Civil, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 9.605 de 1998.'],"['Direito Civil e Processual Civil', 'Meio Ambiente e Desenvolvimento Sustentável']",Direito Civil e Processual Civil,0.4538532793521881,45,Direitos Humanos e Minorias
1260,Altera a Lei nº 14.182 de 2021.,"Energia, Recursos Hídricos e Minerais, Finanças Públicas e Orçamento, Meio Ambiente e Desenvolvimento Sustentável",['Altera a Lei nº 14.182 de 2021.'],"['Energia', 'Recursos Hídricos e Minerais', 'Finanças Públicas e Orçamento', 'Meio Ambiente e Desenvolvimento Sustentável']",Energia,0.4480106830596924,25,Finanças Públicas e Orçamento
1276,Altera a Lei nº 9.472 de 1997.,"Comunicações, Direito e Defesa do Consumidor, Direitos Humanos e Minorias, Previdência e Assistência Social",['Altera a Lei nº 9.472 de 1997.'],"['Comunicações', 'Direito e Defesa do Consumidor', 'Direitos Humanos e Minorias', 'Previdência e Assistência Social']",Comunicações,0.484161913394928,19,Direito e Defesa do Consumidor
1300,Altera a Lei nº 14.042 de 2020.,"Economia, Finanças Públicas e Orçamento, Trabalho e Emprego",['Altera a Lei nº 14.042 de 2020.'],"['Economia', 'Finanças Públicas e Orçamento', 'Trabalho e Emprego']",Economia,0.4346955418586731,35,Direitos Humanos e Minorias
1301,Altera o Decreto-lei nº 2.848 de 1940.,Direito Penal e Processual Penal,['Altera o Decreto-lei nº 2.848 de 1940.'],['Direito Penal e Processual Penal'],Direito Penal e Processual Penal,0.4605073034763336,8,Direito Penal e Processual Penal
1303,Altera as Leis nº 4.829 de 1965 e 11.977 de 2009.,"Agricultura, Pecuária, Pesca e Extrativismo, Direitos Humanos e Minorias, Estrutura Fundiária, Finanças Públicas e Orçamento, Trabalho e Emprego",['Altera as Leis nº 4.829 de 1965 e 11.977 de 2009.'],"['Agricultura', 'Pecuária', 'Pesca e Extrativismo', 'Direitos Humanos e Minorias', 'Estrutura Fundiária', 'Finanças Públicas e Orçamento', 'Trabalho e Emprego']",Agricultura,0.4439723491668701,42,Direitos Humanos e Minorias
